,0
hiring_trend_enc,0.6519635840442406
open_roles,0.08958052427812235
layoff_percentage,0.0803515005058414
ai_adoption_level,0.033977210080007786
job_security_score,0.030152679766850703
layoffs_count,0.02070833939650739
ai_automation_impact,0.01964455526007877
market_condition_enc,0.013791535235354221
ai_replacement_risk,0.009309859952260576
industry_enc,0.009099151542595505
employee_sentiment,0.008837016943365406
salary_budget_change,0.0059197603339226955
revenue_growth_percent,0.005823362798217754
remote_jobs_percentage,0.004831274707621842
stock_growth_percent,0.004747142522358539
month_enc,0.002743330603956622
top_hiring_role_enc,0.002409570594204451
country_enc,0.0018786304234824321
reason_for_layoffs_enc,0.0017177390029771717
company_size_enc,0.0014388890000053567
year,0.0010743430080282002
